customer_id,segment_true,age,gender,income,region,tenure_years,checking_balance,savings_balance,money_market_balance,cd_balance,mortgage_balance,heloc_balance,auto_loan_balance,personal_loan_balance,credit_card_balance,credit_card_limit,credit_utilization,investment_balance,total_deposits,total_lending,total_relationship_value,product_count,monthly_transactions,avg_transaction_amount,recency_days,branch_visits_monthly,call_center_monthly,digital_score,monthly_logins,mobile_pct,features_adopted,monthly_revenue,annual_revenue,churn_probability,life_stage
B000011,Digital Enthusiasts,22,F,92735,West,2.6,12880.4,3281.08,1053.91,31359.9,0.0,0.0,0.0,0.0,6010.78,15372.83,0.391,0.0,48575.29,6010.78,54586.07,5,107,22.51,1,0,0,90.8,28,75.5,10,149.91,1798.92,0.1095,Peak Earning
B000012,Young Professionals,31,F,63567,Southeast,3.3,9764.13,3056.03,0.0,0.0,0.0,0.0,0.0,0.0,12370.76,27368.93,0.452,0.0,12820.16,12370.76,25190.92,3,77,53.34,8,0,3,79.0,22,79.6,9,110.14,1321.68,0.144,Starting Out
B000013,Mature Traditionalists,73,F,43165,Midwest,12.3,24336.63,108208.94,0.0,11434.63,0.0,0.0,0.0,0.0,635.86,21926.17,0.029,0.0,143980.2,635.86,144616.06,4,12,206.4,35,6,0,29.7,14,22.0,2,292.32,3507.84,0.0971,Starting Out
B000014,Young Professionals,24,F,71251,West,2.8,5748.71,2642.84,0.0,0.0,0.0,0.0,38945.76,22496.29,8346.81,29810.05,0.28,0.0,8391.55,69788.86,78180.41,5,59,59.59,14,3,1,97.1,40,91.5,11,257.53,3090.36,0.1413,Starting Out
B000015,At-Risk / Disengaging,64,F,34285,West,7.3,2117.25,243.93,0.0,0.0,0.0,0.0,0.0,0.0,25083.47,28183.67,0.89,0.0,2361.18,25083.47,27444.65,3,14,147.15,32,7,1,5.8,7,0.5,0,154.6,1855.2,0.3871,Building
B000016,At-Risk / Disengaging,64,F,53342,West,6.0,892.57,675.82,322.38,0.0,0.0,0.0,0.0,0.0,4864.97,6066.05,0.802,0.0,1890.77,4864.97,6755.74,4,13,171.56,73,6,2,28.2,14,26.1,5,18.89,226.68,0.3911,Building
B000017,Established Families,39,M,116259,Southwest,11.1,12930.86,19796.34,0.0,0.0,422837.42,0.0,21069.75,0.0,4631.75,11876.29,0.39,42552.35,32727.2,448538.92,523818.47,6,92,56.55,3,1,0,50.2,16,35.8,5,595.95,7151.4,0.0751,Starting Out
B000018,Established Families,38,F,73538,Southwest,7.5,17558.01,5207.49,0.0,0.0,182444.73,0.0,0.0,0.0,4485.95,13002.75,0.345,0.0,22765.5,186930.68,209696.18,4,65,53.37,11,2,1,59.8,26,51.3,7,258.46,3101.52,0.0313,Building
B000019,Established Families,37,F,123423,Southwest,4.1,20783.42,16457.94,4419.83,0.0,0.0,0.0,9465.31,0.0,7583.15,20439.77,0.371,0.0,41661.19,17048.46,58709.65,5,43,105.85,7,0,1,84.5,18,81.7,9,168.05,2016.6,0.0171,Retired
B000020,Established Families,35,F,120108,Midwest,9.0,10599.58,23776.31,3847.95,0.0,169691.6,52743.4,25343.34,0.0,3754.06,17379.91,0.216,71535.27,38223.84,251532.4,361291.51,8,71,75.53,39,4,0,47.5,11,50.4,6,458.47,5501.64,0.029,Pre-Retirement
B000021,Small Business Owners,33,M,91094,Northeast,12.3,50728.74,28281.9,0.0,0.0,0.0,0.0,0.0,0.0,6391.09,13177.5,0.485,375066.64,79010.64,6391.09,460468.37,4,140,33.19,2,0,0,60.1,19,51.9,8,231.93,2783.16,0.1343,Pre-Retirement
B000022,Young Professionals,26,F,46508,Midwest,1.4,9624.59,7075.74,0.0,0.0,0.0,0.0,0.0,11137.61,2410.34,7047.77,0.342,0.0,16700.33,13547.95,30248.28,4,44,34.42,7,1,1,90.2,33,91.3,9,98.81,1185.72,0.1371,Starting Out
B000023,Digital Enthusiasts,22,F,97384,Southwest,5.3,16837.49,10901.34,3141.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30879.99,0.0,30879.99,3,44,86.24,11,3,0,86.7,26,89.0,8,50.11,601.32,0.0344,Retired
B000024,Wealth Builders,42,M,160569,Midwest,11.8,42230.15,138929.97,0.0,0.0,0.0,0.0,28223.81,0.0,0.0,0.0,0.0,210238.94,181160.12,28223.81,419622.87,4,49,110.58,3,3,1,53.2,15,49.5,5,447.28,5367.36,0.0447,Starting Out
B000025,Wealth Builders,48,M,248717,Northeast,11.6,26825.33,132032.13,0.0,0.0,318279.83,0.0,10465.34,0.0,350.77,3731.59,0.094,337586.91,158857.46,329095.94,825540.31,6,29,249.95,29,1,2,50.7,15,44.3,6,693.63,8323.56,0.0118,Pre-Retirement
B000026,Young Professionals,25,M,71236,Southeast,0.6,10926.72,6630.83,0.0,0.0,0.0,0.0,0.0,0.0,6619.49,14054.11,0.471,0.0,17557.55,6619.49,24177.04,3,26,99.17,4,3,3,78.2,28,70.1,9,69.85,838.2,0.1322,Starting Out
B000027,Young Professionals,25,F,50298,Midwest,0.6,4740.55,4656.34,0.0,0.0,0.0,0.0,9791.0,0.0,0.0,0.0,0.0,0.0,9396.89,9791.0,19187.89,3,46,50.98,13,2,1,86.8,21,83.2,10,31.33,375.96,0.118,Starting Out
B000028,Mature Traditionalists,61,M,76501,West,24.2,35105.17,37568.74,4926.46,0.0,263655.51,0.0,0.0,0.0,578.3,5028.72,0.115,345759.19,77600.37,264233.81,687593.37,6,16,237.12,37,6,0,20.2,9,12.6,3,432.9,5194.8,0.0426,Starting Out
B000029,Mature Traditionalists,70,F,53731,Midwest,27.3,16184.75,118705.14,0.0,36750.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350223.03,171640.77,0.0,521863.8,4,17,188.18,3,5,1,15.4,4,20.7,1,350.8,4209.6,0.0361,Starting Out
B000030,Young Professionals,26,F,59343,Midwest,2.4,10859.78,5118.97,62.45,0.0,403639.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16041.2,403639.62,419680.82,4,79,42.83,20,1,0,91.5,24,57.5,11,430.48,5165.76,0.0592,Starting Out
B000031,Established Families,32,F,108499,Southeast,3.2,18592.95,8892.85,0.0,0.0,234504.89,0.0,0.0,0.0,3732.43,7509.92,0.497,471652.23,27485.8,238237.32,737375.35,5,45,79.01,0,0,0,71.0,22,88.5,7,341.01,4092.12,0.0777,Retired
B000032,Mature Traditionalists,71,F,52344,Northeast,13.8,27868.05,77258.69,0.0,44485.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149612.48,0.0,149612.48,3,19,98.69,1,2,1,33.3,13,50.1,3,299.93,3599.16,0.1038,Building
B000033,Wealth Builders,47,F,199996,Southwest,13.9,51772.58,54713.68,0.0,0.0,0.0,0.0,0.0,0.0,4838.28,25599.36,0.189,311212.63,106486.26,4838.28,422537.17,4,26,454.47,0,0,1,78.6,22,72.2,10,275.66,3307.92,0.0664,Building
B000034,Digital Enthusiasts,31,M,112077,Midwest,4.8,17444.88,5786.21,0.0,0.0,426774.54,0.0,15533.72,0.0,6008.67,18718.6,0.321,0.0,23231.09,448316.93,471548.02,5,101,59.33,87,0,0,85.7,27,71.9,10,562.82,6753.84,0.0718,Peak Earning
B000035,Young Professionals,30,M,87788,Northeast,2.8,6323.35,7577.12,0.0,0.0,0.0,0.0,39439.22,0.0,0.0,0.0,0.0,0.0,13900.47,39439.22,53339.69,3,51,112.47,22,0,1,76.0,23,66.1,10,122.0,1464.0,0.1051,Building
B000036,Young Professionals,23,F,80844,Midwest,3.7,3173.08,1438.89,0.0,0.0,0.0,0.0,0.0,15385.34,9175.75,24534.1,0.374,0.0,4611.97,24561.09,29173.06,4,41,106.39,0,1,1,70.3,20,56.4,10,137.99,1655.88,0.1264,Starting Out
B000037,Wealth Builders,50,F,122247,Southeast,15.5,48651.26,31422.64,0.0,8536.03,129104.83,0.0,0.0,0.0,534.06,7522.03,0.071,354705.48,88609.93,129638.89,572954.3,6,52,92.02,25,3,1,51.2,24,49.7,6,327.49,3929.88,0.0685,Peak Earning
B000038,Young Professionals,32,F,60160,Northeast,1.3,9896.99,5440.31,0.0,0.0,0.0,0.0,39871.69,0.0,4378.35,8387.65,0.522,20172.99,15337.3,44250.04,79760.33,5,48,49.4,19,2,0,77.2,28,68.4,10,177.06,2124.72,0.1721,Starting Out
B000039,At-Risk / Disengaging,33,F,46993,Northeast,6.6,2204.31,1363.55,161.95,0.0,0.0,0.0,0.0,0.0,18557.17,26510.25,0.7,0.0,3729.81,18557.17,22286.98,4,5,492.15,8,4,2,15.8,0,17.4,2,123.08,1476.96,0.3288,Retired
B000040,Wealth Builders,44,M,177204,Midwest,17.4,60940.52,41715.45,764.88,0.0,0.0,0.0,0.0,0.0,4212.22,18804.57,0.224,60400.21,103420.85,4212.22,168033.28,5,57,118.67,2,0,0,60.3,18,47.4,7,268.38,3220.56,0.0403,Retired
B000041,Wealth Builders,48,F,152119,Northeast,12.3,35015.45,111608.5,37580.39,0.0,328862.78,0.0,0.0,0.0,6125.36,25629.11,0.239,251101.51,184204.34,334988.14,770293.99,6,28,284.97,1,3,3,73.5,23,76.7,9,758.2,9098.4,0.01,Peak Earning
B000042,Digital Enthusiasts,35,M,79527,Southwest,5.3,15117.69,11671.99,0.0,0.0,0.0,0.0,24057.12,9465.47,6067.62,13696.66,0.443,0.0,26789.68,39590.21,66379.89,5,89,39.6,10,2,2,91.7,24,69.3,12,191.96,2303.52,0.0743,Peak Earning
B000043,Digital Enthusiasts,32,F,108859,West,4.7,3273.49,3740.89,1211.07,0.0,0.0,0.0,0.0,23492.03,2123.19,5738.36,0.37,0.0,8225.45,25615.22,33840.67,5,88,67.84,1,1,0,89.3,31,74.2,8,133.75,1605.0,0.0364,Building
B000044,Digital Enthusiasts,26,F,115449,Midwest,5.8,3651.19,9864.12,0.0,0.0,0.0,0.0,0.0,0.0,6706.79,19496.49,0.344,0.0,13515.31,6706.79,20222.1,3,105,46.9,14,2,0,98.5,23,81.7,11,74.71,896.52,0.0924,Peak Earning
B000045,Small Business Owners,36,M,181974,Midwest,3.2,37334.87,13118.15,0.0,0.0,445480.64,58660.12,0.0,0.0,15121.96,21695.78,0.697,56534.28,50453.02,519262.72,626250.02,6,85,59.71,24,0,0,69.0,12,67.7,7,799.17,9590.04,0.101,Building
B000046,Digital Enthusiasts,39,F,109798,Midwest,4.1,3902.14,8872.16,0.0,0.0,0.0,0.0,0.0,0.0,7049.41,15160.02,0.465,0.0,12774.3,7049.41,19823.71,3,107,47.93,21,2,0,95.0,25,71.4,11,75.21,902.52,0.0908,Starting Out
B000047,Young Professionals,26,M,48943,West,1.4,7538.02,2791.43,0.0,0.0,0.0,0.0,0.0,0.0,17604.87,29788.27,0.591,0.0,10329.45,17604.87,27934.32,3,72,39.82,1,0,0,96.1,29,85.5,12,147.41,1768.92,0.1418,Starting Out
B000048,At-Risk / Disengaging,50,M,50860,West,8.4,1563.77,909.38,0.0,0.0,0.0,0.0,0.0,0.0,2478.41,4840.65,0.512,0.0,2473.15,2478.41,4951.56,3,8,275.36,14,2,1,33.9,12,31.0,2,22.04,264.48,0.3262,Peak Earning
B000049,Mature Traditionalists,65,F,43177,Southwest,11.5,44396.12,40113.91,2434.61,0.0,336099.7,45659.55,0.0,0.0,1138.15,11268.85,0.101,215911.28,86944.64,382897.4,685753.32,7,20,128.41,0,3,2,9.6,2,18.5,0,630.01,7560.12,0.0729,Peak Earning
B000050,Young Professionals,25,F,88180,Midwest,3.9,3097.36,4609.7,0.0,0.0,0.0,0.0,0.0,0.0,10079.8,22908.64,0.44,0.0,7707.06,10079.8,17786.86,3,62,61.49,0,2,2,81.0,31,70.8,9,78.54,942.48,0.0974,Peak Earning
B000051,Small Business Owners,47,M,158497,Northeast,10.0,46871.69,22927.77,0.0,8815.64,0.0,0.0,7493.99,23999.53,5253.33,12537.79,0.419,388453.5,78615.1,36746.85,503815.45,7,126,45.34,7,0,2,66.5,17,55.5,8,336.9,4042.8,0.1393,Building
B000052,Mature Traditionalists,61,F,72033,Southwest,34.5,38035.48,83930.25,14195.44,0.0,0.0,0.0,0.0,0.0,2795.56,19549.37,0.143,65143.18,136161.17,2795.56,204099.91,5,31,140.05,21,4,1,11.9,5,18.9,2,311.11,3733.32,0.0585,Peak Earning
B000053,Digital Enthusiasts,39,M,67361,Northeast,5.7,13889.7,12448.99,3148.68,0.0,0.0,0.0,0.0,0.0,4391.46,11033.81,0.398,0.0,29487.37,4391.46,33878.83,4,40,59.41,24,0,1,98.1,35,95.0,11,95.71,1148.52,0.0585,Building
B000054,Established Families,46,M,138489,Northeast,8.0,19914.68,8466.98,0.0,0.0,135088.58,0.0,0.0,0.0,6301.91,15112.49,0.417,0.0,28381.66,141390.49,169772.15,4,85,47.04,15,3,0,68.7,13,44.2,6,235.57,2826.84,0.1367,Starting Out
B000055,Mature Traditionalists,73,F,67404,Northeast,16.7,10166.38,50095.02,0.0,0.0,0.0,0.0,0.0,0.0,901.45,11861.2,0.076,114202.92,60261.4,901.45,175365.77,4,29,69.57,7,2,2,25.9,8,29.1,4,144.59,1735.08,0.0409,Peak Earning
B000056,Young Professionals,23,M,68313,Southeast,3.4,11406.79,2444.73,0.0,0.0,0.0,0.0,33092.52,0.0,1862.32,6603.96,0.282,0.0,13851.52,34954.84,48806.36,4,58,36.09,47,1,2,83.9,33,70.9,9,122.74,1472.88,0.1488,Starting Out
B000057,Small Business Owners,36,F,145450,Southwest,5.5,13268.31,22064.99,691.22,0.0,276995.65,0.0,0.0,0.0,14331.79,20922.32,0.685,0.0,36024.52,291327.44,327351.96,5,148,35.07,12,0,0,77.5,22,63.7,10,456.95,5483.4,0.087,Peak Earning
B000058,Established Families,36,F,117105,Northeast,10.7,22202.79,22515.99,7968.8,0.0,249571.24,0.0,38099.44,0.0,5016.16,15481.98,0.324,0.0,52687.58,292686.84,345374.42,6,33,204.97,2,4,0,66.8,20,52.8,7,482.83,5793.96,0.036,Building
B000059,Established Families,40,F,72445,Northeast,11.9,14278.63,27548.95,0.0,0.0,323008.64,0.0,32146.41,0.0,4899.15,17129.9,0.286,0.0,41827.58,360054.2,401881.78,5,67,34.15,5,1,2,68.1,26,66.7,8,522.76,6273.12,0.0797,Retired
B000060,Established Families,48,M,109629,Midwest,8.9,6669.28,26825.24,0.0,0.0,0.0,0.0,39443.86,0.0,3478.56,7480.78,0.465,0.0,33494.52,42922.42,76416.94,4,92,33.73,29,3,0,51.5,15,43.7,7,190.68,2288.16,0.0779,Pre-Retirement
B000061,Mature Traditionalists,65,F,85553,Southeast,18.9,14429.18,89761.47,0.0,15794.34,208738.32,0.0,0.0,0.0,1614.32,12514.12,0.129,489656.94,119984.99,210352.64,819994.57,6,11,251.11,27,2,1,27.2,10,16.6,4,485.07,5820.84,0.0657,Building
B000062,Established Families,43,F,138945,Southwest,11.4,18299.7,10027.75,0.0,0.0,121066.1,0.0,0.0,0.0,6542.51,13270.81,0.493,214161.47,28327.45,127608.61,370097.53,5,50,174.93,0,2,2,46.7,15,43.9,6,235.9,2830.8,0.0785,Retired
B000063,Young Professionals,30,M,55885,Northeast,2.4,6687.68,2759.49,0.0,0.0,0.0,0.0,0.0,22766.58,0.0,0.0,0.0,0.0,9447.17,22766.58,32213.75,3,28,119.04,1,2,0,86.6,25,76.3,10,104.14,1249.68,0.1192,Peak Earning
B000064,Digital Enthusiasts,31,M,87594,Southwest,2.9,12028.85,13495.33,0.0,0.0,0.0,0.0,0.0,0.0,3972.78,16833.82,0.236,0.0,25524.18,3972.78,29496.96,3,80,56.3,6,1,1,92.3,29,84.5,12,81.68,980.16,0.0785,Peak Earning
B000065,At-Risk / Disengaging,38,M,43323,Southeast,5.3,779.58,774.86,2.97,0.0,119969.53,0.0,0.0,0.0,10039.34,10924.2,0.919,0.0,1557.41,130008.87,131566.28,5,13,151.85,30,2,1,7.6,0,9.5,1,191.94,2303.28,0.3304,Peak Earning
B000066,Mature Traditionalists,76,M,75002,Northeast,30.5,17531.47,21250.09,0.0,0.0,222020.39,0.0,0.0,0.0,675.17,23281.81,0.029,180611.79,38781.56,222695.56,442088.91,5,10,386.29,31,1,1,38.0,17,45.8,5,325.78,3909.36,0.0728,Pre-Retirement
B000067,Young Professionals,27,F,70973,Northeast,1.5,3230.03,4689.82,0.0,0.0,0.0,0.0,0.0,0.0,7621.24,21170.1,0.36,0.0,7919.85,7621.24,15541.09,3,75,40.65,6,1,2,92.1,34,80.4,11,65.93,791.16,0.0595,Building
B000068,Young Professionals,27,F,60564,Northeast,1.0,2254.48,5343.67,0.0,0.0,231562.69,0.0,0.0,0.0,5729.6,8883.1,0.645,0.0,7598.15,237292.29,244890.44,4,78,31.84,0,0,0,89.3,26,68.9,10,294.47,3533.64,0.1011,Building
B000069,At-Risk / Disengaging,37,F,49801,West,9.0,1007.54,1441.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2449.24,0.0,2449.24,2,4,341.16,203,3,0,27.9,7,37.4,2,-6.84,-82.08,0.324,Peak Earning
B000070,Young Professionals,27,F,63080,West,2.7,10803.15,5175.54,0.0,0.0,0.0,0.0,0.0,12937.56,5818.92,9149.24,0.636,0.0,15978.69,18756.48,34735.17,4,31,118.21,43,0,2,90.2,32,82.2,11,128.55,1542.6,0.1009,Starting Out
B000071,Digital Enthusiasts,28,M,112134,Southeast,2.1,10669.13,7892.56,0.0,0.0,0.0,0.0,0.0,0.0,9889.62,18485.28,0.535,59085.78,18561.69,9889.62,87537.09,4,80,71.64,19,2,3,97.8,35,86.0,11,111.6,1339.2,0.0768,Peak Earning
B000072,Established Families,35,M,159803,Southwest,11.6,21569.39,10954.72,4041.58,0.0,0.0,0.0,31369.98,0.0,10753.05,23685.13,0.454,0.0,36565.69,42123.03,78688.72,5,34,185.81,44,0,1,48.5,10,43.4,4,234.29,2811.48,0.056,Starting Out
B000073,Mature Traditionalists,71,M,62158,Southeast,11.3,16598.22,44505.47,0.0,0.0,0.0,0.0,0.0,0.0,937.59,9102.78,0.103,0.0,61103.69,937.59,62041.28,3,24,132.17,4,4,1,26.1,14,10.4,0,126.27,1515.24,0.0353,Pre-Retirement
B000074,Digital Enthusiasts,24,M,92252,Southeast,4.8,5007.43,9813.81,3673.53,0.0,269117.78,29331.87,0.0,21304.79,4435.89,9664.24,0.459,0.0,18494.77,324190.33,342685.1,7,103,55.67,7,2,2,86.5,19,69.7,9,483.82,5805.84,0.0799,Retired
B000075,Young Professionals,30,F,79246,West,2.8,9025.41,2735.39,1069.3,0.0,213218.67,0.0,0.0,0.0,3430.01,8639.83,0.397,0.0,12830.1,216648.68,229478.78,5,36,115.32,3,2,2,71.5,19,78.9,8,259.53,3114.36,0.1097,Building
B000076,Established Families,43,F,87929,West,6.6,10748.19,12930.22,720.94,0.0,389127.68,36536.58,5676.47,0.0,5234.66,16307.34,0.321,0.0,24399.35,436575.39,460974.74,7,77,43.39,11,2,2,68.8,20,59.3,8,561.77,6741.24,0.0815,Retired
B000077,Established Families,45,M,103456,Northeast,7.7,10996.01,20454.39,0.0,0.0,412467.42,0.0,0.0,0.0,2459.32,11178.72,0.22,127068.8,31450.4,414926.74,573445.94,5,97,30.02,3,2,0,64.4,18,74.6,7,511.82,6141.84,0.0415,Starting Out
B000078,Digital Enthusiasts,28,M,80889,West,4.2,7357.57,7579.84,0.0,0.0,134502.13,54164.53,0.0,24032.48,3574.17,9531.12,0.375,0.0,14937.41,216273.31,231210.72,6,74,29.33,3,0,1,86.1,30,71.3,12,408.03,4896.36,0.047,Starting Out
B000079,Established Families,49,F,158302,Midwest,12.0,10190.84,14798.89,0.0,33005.45,0.0,0.0,32740.83,0.0,0.0,0.0,0.0,0.0,57995.18,32740.83,90736.01,4,74,112.9,22,3,1,65.9,19,46.9,6,186.5,2238.0,0.0239,Peak Earning
B000080,Established Families,43,M,146323,Southwest,5.0,6907.99,14574.95,3504.47,0.0,186887.43,0.0,0.0,0.0,7346.73,23547.21,0.312,0.0,24987.41,194234.16,219221.57,5,69,84.7,3,2,0,75.2,13,77.8,8,290.96,3491.52,0.0639,Retired
B000081,Young Professionals,32,F,71173,Southeast,1.5,7800.89,4375.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12176.13,0.0,12176.13,2,35,78.93,1,0,1,91.9,25,48.0,11,19.57,234.84,0.1253,Starting Out
B000082,Wealth Builders,54,M,279532,Southwest,17.5,57552.29,39707.36,0.0,0.0,237334.43,18950.68,0.0,11581.01,1096.41,4475.13,0.245,155578.37,97259.65,268962.53,521800.55,7,36,292.13,25,3,2,61.5,21,43.9,8,542.78,6513.36,0.0106,Building
B000083,Digital Enthusiasts,23,F,67549,Southwest,3.5,11756.59,14331.1,1901.21,0.0,0.0,0.0,0.0,0.0,6378.4,16874.07,0.378,0.0,27988.9,6378.4,34367.3,4,113,32.25,4,3,2,99.0,32,98.0,11,92.29,1107.48,0.0966,Pre-Retirement
B000084,Small Business Owners,49,F,239947,Midwest,11.5,29025.89,10706.24,0.0,0.0,89321.56,0.0,29629.49,0.0,5438.37,9344.28,0.582,0.0,39732.13,124389.42,164121.55,5,130,88.65,30,2,0,61.9,27,56.1,7,283.79,3405.48,0.0916,Building
B000085,Established Families,43,F,151547,Northeast,8.1,18480.4,4399.57,0.0,0.0,210594.65,0.0,30644.47,0.0,6910.19,24161.52,0.286,0.0,22879.97,248149.31,271029.28,5,74,108.5,8,1,0,72.4,19,63.5,9,386.96,4643.52,0.0576,Pre-Retirement
B000086,Young Professionals,28,F,50098,Southeast,1.1,9378.85,5784.16,0.0,0.0,0.0,0.0,12186.65,0.0,5520.63,10761.46,0.513,0.0,15163.01,17707.28,32870.29,4,59,44.17,14,0,2,86.9,25,80.1,10,102.26,1227.12,0.1424,Starting Out
B000087,Young Professionals,24,F,84734,Northeast,3.8,7875.86,5758.55,0.0,0.0,295682.64,0.0,0.0,0.0,8344.26,25674.64,0.325,0.0,13634.41,304026.9,317661.31,4,48,63.16,0,1,3,97.4,24,86.3,12,376.74,4520.88,0.0972,Building
B000088,Young Professionals,25,F,45618,Northeast,3.6,4144.06,2531.05,79.13,0.0,0.0,0.0,0.0,0.0,16783.8,28690.25,0.585,0.0,6754.24,16783.8,23538.04,4,65,39.12,6,0,0,93.0,28,91.1,11,134.6,1615.2,0.1131,Peak Earning
B000089,Small Business Owners,48,M,179746,Northeast,12.2,45273.04,19966.05,0.0,0.0,0.0,0.0,33866.01,0.0,1508.5,3591.66,0.42,0.0,65239.09,35374.51,100613.6,4,90,104.45,2,2,0,42.2,16,37.8,5,233.32,2799.84,0.0852,Starting Out
B000090,Mature Traditionalists,57,M,53747,Midwest,17.2,27815.49,52473.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180440.35,80288.52,0.0,260728.87,3,14,233.35,29,9,2,22.7,5,11.9,2,142.77,1713.24,0.0645,Pre-Retirement
B000091,Mature Traditionalists,59,M,46465,Northeast,27.3,8073.71,90467.66,0.0,0.0,110915.1,21602.37,0.0,0.0,286.37,5844.33,0.049,305837.58,98541.37,132803.84,537182.79,6,33,71.36,8,4,0,13.6,3,6.3,0,374.96,4499.52,0.0924,Peak Earning
B000092,Digital Enthusiasts,31,F,63790,Southeast,1.1,5142.63,10689.03,2094.3,0.0,0.0,0.0,0.0,0.0,5466.6,24404.47,0.224,0.0,17925.96,5466.6,23392.56,4,106,35.64,6,3,1,93.4,35,94.0,11,67.69,812.28,0.1207,Pre-Retirement
B000093,Wealth Builders,39,F,327408,Northeast,10.8,19353.28,134055.56,0.0,0.0,0.0,0.0,27691.13,0.0,3384.31,24702.99,0.137,0.0,153408.84,31075.44,184484.28,4,22,601.22,16,0,3,71.2,15,57.2,7,413.19,4958.28,0.0195,Pre-Retirement
B000094,Young Professionals,31,F,47990,Southwest,3.2,7837.14,6364.7,0.0,0.0,0.0,0.0,28490.51,0.0,2488.47,7586.79,0.328,0.0,14201.84,30978.98,45180.82,4,73,32.29,9,2,0,91.0,28,85.0,12,118.64,1423.68,0.1239,Building
B000095,Established Families,39,F,86912,Northeast,11.2,18923.12,13335.57,0.0,0.0,0.0,0.0,29232.56,0.0,0.0,0.0,0.0,0.0,32258.69,29232.56,61491.25,3,71,44.1,22,3,2,58.0,13,46.1,5,122.03,1464.36,0.0761,Pre-Retirement
B000096,Established Families,39,M,73030,West,3.3,9867.93,18048.1,6017.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33933.69,0.0,33933.69,3,36,135.15,24,1,2,78.0,21,76.6,8,58.88,706.56,0.0177,Retired
